# NIST-based Proton Transport Lookup Table
# Material: Liquid water (density = 1.0 g/cm³)
# Energy range: 0.01 - 250.0 MeV
# Step length: 1.0 mm
#
# Column descriptions:
# 1: Energy [MeV] - Proton kinetic energy
# 2: StoppingPower [MeV/mm] - dE/dx from NIST PSTAR
# 3: LET [keV/um] - Linear Energy Transfer (same as stopping power)
# 4: Range [mm] - CSDA range integrated from stopping power
# 5: ScatteringAngle [rad] - RMS scattering angle per step (Highland formula)
# 6: ScatteringAngle [deg] - RMS scattering angle in degrees
# 7: Beta - v/c relativistic velocity
# 8: ResidualEnergy [MeV] - Energy after 1 mm step
#
Energy_MeV,StoppingPower_MeV_mm,LET_keV_um,Range_mm,ScatteringAngle_rad,ScatteringAngle_deg,Beta,ResidualEnergy_MeV
1.000000e-02,2.318000e+01,2.318000e+01,0.000000e+00,2.778920e+01,1.592204e+03,4.616865e-03,0.000000e+00
1.017463e-02,2.301288e+01,2.301288e+01,7.561080e-06,2.731224e+01,1.564876e+03,4.657003e-03,0.000000e+00
1.035232e-02,2.284697e+01,2.284697e+01,1.531007e-05,2.684346e+01,1.538017e+03,4.697490e-03,0.000000e+00
1.053310e-02,2.268225e+01,2.268225e+01,2.325164e-05,2.638273e+01,1.511619e+03,4.738328e-03,0.000000e+00
1.071705e-02,2.251872e+01,2.251872e+01,3.139057e-05,2.592991e+01,1.485674e+03,4.779522e-03,0.000000e+00
1.090420e-02,2.235637e+01,2.235637e+01,3.973178e-05,2.548486e+01,1.460175e+03,4.821074e-03,0.000000e+00
1.109463e-02,2.219519e+01,2.219519e+01,4.828028e-05,2.504745e+01,1.435113e+03,4.862988e-03,0.000000e+00
1.128838e-02,2.203517e+01,2.203517e+01,5.704123e-05,2.461755e+01,1.410482e+03,4.905265e-03,0.000000e+00
1.148551e-02,2.187630e+01,2.187630e+01,6.601991e-05,2.419502e+01,1.386273e+03,4.947910e-03,0.000000e+00
1.168609e-02,2.171858e+01,2.171858e+01,7.522173e-05,2.377975e+01,1.362479e+03,4.990926e-03,0.000000e+00
1.189017e-02,2.156200e+01,2.156200e+01,8.465224e-05,2.337160e+01,1.339094e+03,5.034316e-03,0.000000e+00
1.209781e-02,2.140654e+01,2.140654e+01,9.431711e-05,2.297046e+01,1.316111e+03,5.078083e-03,0.000000e+00
1.230908e-02,2.125221e+01,2.125221e+01,1.042222e-04,2.257621e+01,1.293522e+03,5.122231e-03,0.000000e+00
1.252404e-02,2.109899e+01,2.109899e+01,1.143734e-04,2.218872e+01,1.271320e+03,5.166762e-03,0.000000e+00
1.274275e-02,2.094687e+01,2.094687e+01,1.247769e-04,2.180788e+01,1.249500e+03,5.211680e-03,0.000000e+00
1.296528e-02,2.079586e+01,2.079586e+01,1.354390e-04,2.143358e+01,1.228054e+03,5.256989e-03,0.000000e+00
1.319170e-02,2.064593e+01,2.064593e+01,1.463660e-04,2.106571e+01,1.206976e+03,5.302692e-03,0.000000e+00
1.342207e-02,2.049708e+01,2.049708e+01,1.575646e-04,2.070414e+01,1.186260e+03,5.348792e-03,0.000000e+00
1.365647e-02,2.034930e+01,2.034930e+01,1.690415e-04,2.034879e+01,1.165900e+03,5.395293e-03,0.000000e+00
