step_number,z_index,x_index,z_mm,x_mm,weight
1,0,19,0.500,19.500,6.60399973e-01
2,0,18,0.500,18.500,1.99726702e-09
2,0,19,0.500,19.500,6.60426795e-01
2,0,20,0.500,20.500,2.70525391e-07
2,1,18,1.500,18.500,5.23552808e-05
2,1,19,1.500,19.500,6.57124221e-01
2,1,20,1.500,20.500,5.83785586e-03
3,0,18,0.500,18.500,1.99726702e-09
3,0,19,0.500,19.500,6.60426795e-01
3,0,20,0.500,20.500,2.70579136e-07
3,1,17,1.500,17.500,3.82675176e-11
3,1,18,1.500,18.500,5.23677409e-05
3,1,19,1.500,19.500,6.57179236e-01
3,1,20,1.500,20.500,5.83899673e-03
3,1,21,1.500,21.500,7.10361592e-09
3,2,17,2.500,17.500,4.62816388e-07
3,2,18,2.500,18.500,1.55831600e-04
3,2,19,2.500,19.500,6.53762043e-01
3,2,20,2.500,20.500,1.16647417e-02
3,2,21,2.500,21.500,5.43428723e-05
4,0,18,0.500,18.500,1.99726702e-09
4,0,19,0.500,19.500,6.60426795e-01
4,0,20,0.500,20.500,2.70579136e-07
4,1,17,1.500,17.500,3.82675176e-11
4,1,18,1.500,18.500,5.23677409e-05
4,1,19,1.500,19.500,6.57179236e-01
4,1,20,1.500,20.500,5.83899673e-03
4,1,21,1.500,21.500,7.10804571e-09
4,2,17,2.500,17.500,4.63076560e-07
4,2,18,2.500,18.500,1.55870206e-04
4,2,19,2.500,19.500,6.53846800e-01
4,2,20,2.500,20.500,1.16674490e-02
4,2,21,2.500,21.500,5.43782771e-05
4,2,22,2.500,22.500,1.94446056e-10
4,3,16,3.500,16.500,4.30794866e-09
4,3,17,3.500,17.500,1.86642978e-06
4,3,18,3.500,18.500,3.09165363e-04
4,3,19,3.500,19.500,6.50318027e-01
4,3,20,3.500,20.500,1.74737033e-02
4,3,21,3.500,21.500,1.65574398e-04
4,3,22,3.500,22.500,5.76701780e-07
5,0,18,0.500,18.500,1.99726702e-09
5,0,19,0.500,19.500,6.60426795e-01
5,0,20,0.500,20.500,2.70579136e-07
5,1,17,1.500,17.500,3.82675176e-11
5,1,18,1.500,18.500,5.23677409e-05
5,1,19,1.500,19.500,6.57179236e-01
5,1,20,1.500,20.500,5.83899673e-03
5,1,21,1.500,21.500,7.10804571e-09
5,2,17,2.500,17.500,4.63076560e-07
5,2,18,2.500,18.500,1.55870206e-04
5,2,19,2.500,19.500,6.53846800e-01
5,2,20,2.500,20.500,1.16674490e-02
5,2,21,2.500,21.500,5.43782953e-05
5,2,22,2.500,22.500,1.94446056e-10
5,3,16,3.500,16.500,4.31150937e-09
5,3,17,3.500,17.500,1.86739396e-06
5,3,18,3.500,18.500,3.09253723e-04
5,3,19,3.500,19.500,6.50433540e-01
5,3,20,3.500,20.500,1.74787622e-02
5,3,21,3.500,21.500,1.65678110e-04
5,3,22,3.500,22.500,5.77893502e-07
5,3,23,3.500,23.500,4.34392062e-12
5,4,15,4.500,15.500,4.44216122e-11
5,4,16,4.500,16.500,2.25275834e-08
5,4,17,4.500,17.500,4.70036275e-06
5,4,18,4.500,18.500,5.11067454e-04
5,4,19,4.500,19.500,6.46796882e-01
5,4,20,4.500,20.500,2.32581422e-02
5,4,21,4.500,21.500,3.35880381e-04
5,4,22,4.500,22.500,2.41814973e-06
5,4,23,4.500,23.500,7.89802446e-09
6,0,18,0.500,18.500,1.99726702e-09
6,0,19,0.500,19.500,6.60426795e-01
6,0,20,0.500,20.500,2.70579136e-07
6,1,17,1.500,17.500,3.82675176e-11
6,1,18,1.500,18.500,5.23677409e-05
6,1,19,1.500,19.500,6.57179236e-01
6,1,20,1.500,20.500,5.83899673e-03
6,1,21,1.500,21.500,7.10804571e-09
6,2,17,2.500,17.500,4.63076560e-07
6,2,18,2.500,18.500,1.55870206e-04
6,2,19,2.500,19.500,6.53846800e-01
6,2,20,2.500,20.500,1.16674490e-02
6,2,21,2.500,21.500,5.43782953e-05
6,2,22,2.500,22.500,1.94446056e-10
6,3,16,3.500,16.500,4.31150937e-09
6,3,17,3.500,17.500,1.86739396e-06
6,3,18,3.500,18.500,3.09253723e-04
6,3,19,3.500,19.500,6.50433540e-01
6,3,20,3.500,20.500,1.74787622e-02
6,3,21,3.500,21.500,1.65678197e-04
6,3,22,3.500,22.500,5.77893502e-07
6,3,23,3.500,23.500,4.34392062e-12
6,4,15,4.500,15.500,4.44216122e-11
6,4,16,4.500,16.500,2.25493366e-08
6,4,17,4.500,17.500,4.70299665e-06
6,4,18,4.500,18.500,5.11237595e-04
6,4,19,4.500,19.500,6.46944344e-01
