Parameter,Value,Unit
BEAM PARAMETERS,,
Initial Energy,70.0,MeV
Initial Weight,1.0,-
GRID PARAMETERS,,
X Range,0.0-12.0,mm
Z Range,0.0-50.0,mm
Delta X,1.0,mm
Delta Z,1.0,mm
NX,12,-
NZ,50,-
Energy Range,1.0-70.0,MeV
Delta E,0.2,MeV
NE,345,-
Energy Cutoff,2.0,MeV
Angular Center,90.0,degrees
Angular Half Range,20.0,degrees
Delta Theta,1.0,degrees
NTheta,40,-
RESULTS,,
Bragg Peak Position,49.5000,mm
Peak Dose,1.62101316e+00,MeV
FWHM,12.0000,mm
Total Dose Deposited,4.07390289e+01,MeV
Final Weight,1.53197959e-07,-
Total Escape,9.99999821e-01,-
DOSE STATISTICS,,
Max Dose,7.22308517e-01,MeV
Min Dose (non-zero),5.74256137e-12,MeV
Mean Dose,6.78983852e-02,MeV
Std Dose,1.12879932e-01,MeV
